"variable","tipo","es_id"
"id","character",TRUE
"Dominio","character",FALSE
"P5000","integer",FALSE
"P5010","integer",FALSE
"P5090","integer",FALSE
"P5130","numeric",FALSE
"P5140","numeric",FALSE
"Nper","integer",FALSE
"Npersug","integer",FALSE
"Ingtotugarr","numeric",FALSE
"Ingpcug","numeric",FALSE
"Lp","numeric",FALSE
"Pobre","integer",FALSE
"n_miembros","integer",FALSE
"n_mujeres","integer",FALSE
"n_menores","integer",FALSE
"n_ocupados","integer",FALSE
"edad_promedio","numeric",FALSE
"jefe_mujer","integer",FALSE
"jefe_edad","integer",FALSE
